review,clean_review,sentiment,topic
"@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",thats great hear anything comes let us know well carry helping ay,Positive,general
@SpotifyCares Brilliant thanks 😊,spotifycares brilliant thanks,Positive,general
"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",youre welcome theres anything else help give us shout cp,Positive,general
@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,please help spotify premium skipping songs constantly android tablet amp bluetooth speaker tried everything,Positive,general
@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,wed love help please dm us let us know steps youve tried since experiencing behaviors,Positive,general
"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",applesupport phone sucks apps broken wifi disconnects frequently apple ios painfulupdate,Negative,product_quality
"@105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",sorry flight delayed beatner travelling ba updated departure time,Negative,general
First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,first flight long time britishairways one h delay short jump fralcy one provide status updates,Negative,general
"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",battery life important dm us ios version iphone running well go,Positive,general
Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,okay used fucking phone minutes drains fucking percent,Positive,general
@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,thanks reaching us always happy help send us dm look together,Positive,general
"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",applesupport get iphone plus back old ios please battery runs half time apps frequently crash,Negative,general
@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,wed happy help send us dm start,Positive,general
You’ve paralysed my phone with your update @76099 grrrrrrrrrr,youve paralysed phone update grrrrrrrrrr,Neutral,general
"@82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",wed like help sam number calling please dm us info advise,Positive,general
"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex",received weeks ago since ive getting calls day telemarketer someone using name,Neutral,general
"@105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",understand frustrating experience please send dm account information look matter ad,Negative,general
"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245",internet xfinity talkin hours yall game messed,Negative,general
@105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,understand frustrated situation please follow us sending dm assistance sprint cares ac,Positive,general
@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,service last min sprint get refund,Neutral,staff_behavior
@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,wed like help happens try listen apple music amp use whatsapp music pause let us know dm,Positive,general
So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,new update let listen music go whatsapp time,Neutral,general
@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,hi harry helps check logging gt restarting device gt logging back makes difference keep us posted mu,Positive,general
@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,spotifycares seems working stage let know happens cheers,Positive,general
@105847 Sure thing. We'll keep an eye out for your update /MU,sure thing well keep eye update mu,Positive,general
@SpotifyCares problem has come back again today. is there some kind of bug?,spotifycares problem come back today kind bug,Positive,general
"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",thanks giving us nudge device operating system spotify version happening ay,Positive,general
"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",spotifycares macbook air early running high sierra spotify version gacae,Neutral,general
@105847 Got it. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it plays out /AY,got try steps us help let us know plays ay,Positive,general
@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,spotifycares ive issues playback songs stopping midway wont restart unless close reopen app,Negative,general
@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,lets take look exact ios youre using using specific apps noticing dm us reply,Neutral,general
@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,applesupport latest version read help page turned virtually apps location svs typing dropped life,Positive,delivery
@AppleSupport Super help - problem solved 😀 once again in love with Apple,applesupport super help problem solved love apple,Positive,general
@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,applesupport iosupdate still killing battery within hours phone months old disgrace used get days,Negative,general
@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,thanks reaching us always happy help send us dm look together,Positive,general
"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",took phone charge amam battery remaining plz beg sort battery life,Positive,general
"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",points load hit number get immediately youll even receive congrats email almost ac,Positive,general
@SouthwestAir I am! Thank you for the answer!!,southwestair thank answer,Positive,general
@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,southwestair curiouswill get companion pass exact moment get enough points wait thanks,Positive,general
@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,wed like provide assistance tell us issue youre experiencing dm well go,Positive,general
@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,applesupport need new code istore havent recd msg many sent help,Positive,general
"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",experiencing issue device dm us whats going well see help,Positive,general
@76099 @AppleSupport fix this update. It’s horrible,applesupport fix update horrible,Negative,general
"@105842 I appreciate it's after 15:30 now, so hopefully you will depart very soon. We're sorry for any inconvenience the delay has caused. 2/2 ^JR",appreciate hopefully depart soon sorry inconvenience delay caused jr,Positive,general
"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",britishairways thanks answer response onsite aircraft depart today rebooking h delay,Positive,general
@105842 Very sorry to hear this.  We hope you get everything sorted.   Kind Regards ^Jools,sorry hear hope get everything sorted kind regards jools,Positive,general
"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",sorry poor experience please dm full service address name account ass,Negative,staff_behavior
@Ask_Spectrum It's just in my yard. I've called 4-5 times in 6 weeks. I'm not a customer but it's pretty tempting. I do have some coaxial,askspectrum yard ive called times weeks im customer pretty tempting coaxial,Positive,general
@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,guess means free cable neighborhood,Positive,general
"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",hi thomas colleague believes person buying alcohol looks challenged id prove theyre age paige,Negative,general
@Tesco Maybe hire colleagues who can see?,tesco maybe hire colleagues see,Neutral,general
@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,tesco point enforced properly dont plus take commonsense think person look,Neutral,general
"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda",hi thomas correct helps store colleagues judge age protect making underage sales amanda,Positive,general
@Tesco Uk offlicense law is 18. Not 25,tesco uk offlicense law,Neutral,general
"@105855 Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",hi thomas operate think policy stores id flattered idd helena,Positive,general
Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,got ids tesco buying one adnams broadside blind part jobspec kilos,Negative,general
"@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",hi could try deleting cache cookies reinstalling app using fix issue dani,Neutral,general
@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,tesco lose shopping ive done delete cachecookies using app,Negative,general
"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",hi long sign account prior deleting cache amp cookies youll still full basket thanks mike,Positive,general
@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,tesco done still telling delivery slots whatsoever,Neutral,delivery
"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",dm full name address email id happy look thanks mike,Positive,general
"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",hey tesco websites broken telling delivery slots next weeks find slightly unlikely,Negative,delivery
@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,particular app seems cause issues others model iphone using join us dm,Positive,general
@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,applesupport latest version ios started immediately updated phone,Neutral,delivery
@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,wed like help start happening version ios running currently,Positive,general
My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,apps stop working without warning phone freezes every five minutes love new update,Positive,general
"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",hi agoura thanks tweeting please refer article amp click link reply back rashmi,Positive,general
@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,hpsupport problem printhead serial thdhn hpcswus hpprnt,Negative,general
@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,ups service called choice allow packages delivered ups store ml,Positive,staff_behavior
@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,wish amazon option get shipped ups store avoid lot struggle,Neutral,general
They reschedule my shit for tomorrow https://t.co/RsvZcT982t,reschedule shit tomorrow,Negative,general
"@105861 Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",hey sara sorry hear issues ask lay speed website responding ty chris,Positive,general
@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,tesco bit finding layout cumbersome removing item faves getting huge slowdown keen thin green line,Positive,queue
"@105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",doesnt help please dm full name address email including browser device log thanks lee,Negative,general
